BEGIN
                 fact_ref                 |      kind       |                                 file                                 | line |               symbol_name               |    class_name    |   caller_class   |               caller_name               |                 method                  |                                                                                                                      description                                                                                                                       |          run_id          
------------------------------------------+-----------------+----------------------------------------------------------------------+------+-----------------------------------------+------------------+------------------+-----------------------------------------+-----------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------
 01d52aa1db20557d4f04eded9841e127b494949f | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  194 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKAccessMessagePublisherService.publishMessageToAllACDs (functions/src/modules/core/modules/access/services/access.service.ts:194)                                 | 20260911_080454-00e1d9fd
 0419bc26e5fb183eb0bf36d5103a3507ba636e53 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  167 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKPincodeService.addPincodeDocumentsToSupplierStaffAccess (functions/src/modules/core/modules/access/services/access.service.ts:167)                               | 20260911_080454-00e1d9fd
 05c019af56cb740770554cbca54f715517381955 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  365 | updateAccess                            |                  | OSKAccessService | updateAccess                            |                                         | call_expression in core/access: updateAccess -- inside: OSKAccessService -- calls: userAccesses.accesses.findIndex (functions/src/modules/core/modules/access/services/access.service.ts:365)                                                          | 20260911_080454-00e1d9fd
 06550c4045257e045f5da86e8b6284ae7717fce7 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  256 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKNonAppUserAccessService.createOrUpdateNonAppUserAccess (functions/src/modules/core/modules/access/services/access.service.ts:256)                                | 20260911_080454-00e1d9fd
 0ef15e12a31acb59d9d535a43b22942816b9bfe4 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  225 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKAccessService._getAuthorizedDoorsForStaffOrNonAppUser (functions/src/modules/core/modules/access/services/access.service.ts:225)                                 | 20260911_080454-00e1d9fd
 0ffd0e4019572ea1bfe926939bf00a668e6787fa | service_method  | functions/src/modules/core/modules/access/services/access.service.ts |  786 | getClearedAccessRights                  | OSKAccessService |                  |                                         | getClearedAccessRights                  | service_method in core/access: getClearedAccessRights -- returns: T[] (functions/src/modules/core/modules/access/services/access.service.ts:786)                                                                                                       | 20260911_080454-00e1d9fd
 133b43f1b66c6d0eaa461d4f3b3b19675c20b19c | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  218 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKBuildingController.default.getSafe (functions/src/modules/core/modules/access/services/access.service.ts:218)                                                    | 20260911_080454-00e1d9fd
 13831b6b0679021f5efbe5c9aba69866ef0fbaa9 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  230 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: log (functions/src/modules/core/modules/access/services/access.service.ts:230)                                                                                      | 20260911_080454-00e1d9fd
 1600d7df24e3324a1b61592c045ff9657f282b7d | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  714 | _getAvailableDoors                      |                  | OSKAccessService | _getAvailableDoors                      |                                         | call_expression in core/access: _getAvailableDoors -- inside: OSKAccessService -- calls: OSKBuildingDoorController.default.get (functions/src/modules/core/modules/access/services/access.service.ts:714)                                              | 20260911_080454-00e1d9fd
 1818d577e496eddf9a426aa257803c1bf5def619 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  459 | updateAccess                            |                  | OSKAccessService | updateAccess                            |                                         | call_expression in core/access: updateAccess -- inside: OSKAccessService -- calls: OSKAccessMessagePublisherService.publishMessageToAllACDs (functions/src/modules/core/modules/access/services/access.service.ts:459)                                 | 20260911_080454-00e1d9fd
 2394ef5ab9e51894653c1f756525f8e694d0458b | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  754 | _removeAccessIdFromUserInvitations      |                  | OSKAccessService | _removeAccessIdFromUserInvitations      |                                         | call_expression in core/access: _removeAccessIdFromUserInvitations -- inside: OSKAccessService -- calls: buildingUserInvitation.invitees.findIndex (functions/src/modules/core/modules/access/services/access.service.ts:754)                          | 20260911_080454-00e1d9fd
 2742d2bdd8df1ba004c651a1b6baffbe78f45547 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  136 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKSupplierController.default.getSafe (functions/src/modules/core/modules/access/services/access.service.ts:136)                                                    | 20260911_080454-00e1d9fd
 2a8431174e5637392c60e7f72676a127200913f3 | call_expression | functions/src/modules/core/modules/access/services/access.service.ts |  315 | createAccess                            |                  | OSKAccessService | createAccess                            |                                         | call_expression in core/access: createAccess -- inside: OSKAccessService -- calls: OSKBuildingAccessService.createOrUpdateBuildingAccess (functions/src/modules/core/modules/access/services/access.service.ts:315)                                    | 20260911_080454-00e1d9fd
 2abd898f1542ea9e79fe05b385ab6a96fccacac8 | service_method  | functions/src/modules/core/modules/access/services/access.service.ts |  703 | _getAvailableDoors                      | OSKAccessService |                  |                                         | _getAvailableDoors                      | service_method in core/access: _getAvailableDoors -- returns: Promise<OSKDocumentList<OSKBuildingDoorDocument>> (functions/src/modules/core/modules/access/services/access.service.ts:703)                                                             | 20260911_080454-00e1d9fd
 2d616a643c7f556753bafd76b8778ef4ee56efb8 | service_method  | functions/src/modules/core/modules/access/services/access.service.ts |   71 | getAllUserAccesses                      | OSKAccessService |                  |                                         | getAllUserAccesses                      | service_method in core/access: getAllUserAccesses -- returns: Promise<OSKHttpsSuccessResponse<OSKUserAccesses[]>> (functions/src/modules/core/modules/access/services/access.service.ts:71)                                                            | 20260911_080454-00e1d9fd
